Uber Exclude,Door-to-Door Only
185533,124483
185540,124536
185555,124537
185702,124560
185779,124561
185819,124566
185983,124592
186198,124714
186200,124720
186304,124808
186315,124905
186376,125001
186377,125004
186378,125153
186384,125184
186395,125494
186408,125502
186409,125522
186436,125681
186484,125732
186485,125749
186511,126449
186515,126514
186518,126632
186545,126675
186548,126754
186601,126947
186671,127003
186679,127008
186806,127092
186823,127247
186825,127254
186943,127305
186945,127367
186947,127410
186979,127477
187068,127549
187119,127619
187159,127901
187264,127989
187287,127990
187317,128146
187423,128200
187425,128246
187488,128331
187491,128379
187522,128457
187575,128631
187592,128702
187634,128764
187658,128862
187663,129188
187671,129208
187762,129220
187866,129288
187872,129415
187893,129580
187900,129630
187970,129636
187998,129669
188016,129861
188025,129881
188099,129883
188102,130030
188165,130043
188173,130194
188195,130354
188203,130388
188237,130623
188239,130632
188259,130716
188270,130788
188314,130897
188387,131021
188402,131101
188474,131171
188495,131186
188510,131222
188540,131473
188541,131609
188582,131667
188616,131676
188623,131760
188643,131806
188746,131845
188792,131896
188800,131942
188853,132044
188854,132097
188874,132223
188922,132373
188962,132401
188985,132457
188996,132701
189066,132755
189081,132893
189122,132897
189129,132944
189130,132961
189137,133004
189169,133007
189173,133062
189194,133258
189200,133266
189218,133327
189251,133349
189252,133368
189326,133439
189330,133457
189365,133526
189366,133582
189389,133781
189427,133784
189453,133816
189457,134036
189519,134047
189538,134289
189542,134325
189559,134353
189563,134727
189573,134754
189615,134780
189682,134790
189690,134794
189709,134890
189770,135073
189786,135076
189797,135112
189844,135122
189872,135453
189925,135606
189938,135676
189943,135721
190029,135766
190049,135829
190061,135873
190072,136009
190101,136054
190112,136157
190154,136211
190161,136324
190222,136362
190229,136367
190230,136392
190253,136436
190264,136534
190277,136569
190339,136653
190369,136788
190439,136990
190450,137082
190534,137311
190633,137320
190638,137378
190677,137468
190690,137480
190714,137489
190760,137543
190793,137708
190850,137758
190902,137842
190909,138508
190936,138523
190952,138534
191020,138599
191090,138906
191122,138915
191144,138962
191185,138990
191232,139046
191243,139060
191280,139092
191296,139356
191307,139416
191390,139449
191440,139542
191462,139697
191528,139727
191542,139981
191677,140125
191697,140204
191745,140283
191773,140416
191894,140549
191909,140586
191912,140612
192071,140710
192099,140730
192103,140737
192155,140768
192176,140868
192192,140960
192205,141051
192241,141205
192267,141240
192292,141253
192397,141448
192416,141581
192418,141586
192422,141725
192479,141749
192487,141765
192555,142054
192565,142075
192670,142114
192691,142151
192710,142161
192727,142441
192749,142496
192756,142593
192786,142642
192870,142713
192906,142781
192913,142806
192941,142824
192970,142856
193008,143106
193100,143291
193180,143312
193424,143368
193478,143379
193500,143382
193505,143410
193547,143473
193555,143478
193575,143677
193631,143837
193748,143973
193818,143981
193821,144020
193838,144103
193912,144155
193930,144156
194009,144159
194047,144166
194059,144214
194082,144277
194085,144399
194091,144499
194116,144742
194212,144783
194250,144817
194257,144829
194280,144929
194335,144931
194353,144932
194358,144968
194386,145021
194393,145285
194469,145299
194504,145382
194505,145479
194527,145539
194560,145696
194583,145716
194641,145748
194708,145760
194746,145833
194763,145877
194909,145893
194910,146037
195038,146118
195075,146167
195205,146271
195340,146349
195375,146630
195414,146656
195528,146685
195540,146702
195563,146743
195591,146766
195601,146828
195602,146842
195604,146849
195611,146995
195615,147036
195642,147090
195726,147286
195749,147352
195756,147585
195797,147619
195800,147761
195801,147762
195802,147813
195808,147850
195932,147906
195955,147969
195990,148229
195993,148359
196006,148461
196122,148467
196136,148632
196168,148760
196193,148780
196267,148810
196284,148900
196360,148964
196369,148979
196374,149026
196407,149093
196411,149149
196452,149150
196454,149170
196467,149212
196483,149378
196515,149408
196525,149526
196528,149560
196549,149638
196550,149658
196569,149841
196664,150085
196683,150117
196743,150131
196746,150253
196786,150268
196813,150295
196861,150362
196930,150363
196967,150373
197026,150392
197027,150681
197081,150831
197093,150875
197100,150892
197111,150916
197113,150947
197129,150949
197237,151000
197239,151077
197288,151178
197401,151186
197450,151390
197493,151396
197499,151399
197526,151498
197537,151562
197802,151567
197814,151571
197832,151596
197848,151633
197850,151658
197867,151671
197924,151737
197948,151756
197971,151965
197972,152069
197975,152106
197996,152154
198095,152222
198122,152231
198184,152315
198203,152331
198219,152440
198259,152465
198297,152515
198374,152522
198395,152597
198439,152636
198490,152674
198519,152685
198540,152944
198553,152953
198583,153023
198594,153051
198693,153059
198740,153071
199070,153128
199075,153143
199081,153166
199119,153230
199176,153371
199198,153378
199300,153383
199390,153392
199677,153501
199831,153649
199869,153728
199961,153738
199985,153905
200000,154081
200117,154160
200216,154329
200457,154335
200742,154343
200761,154381
200780,154388
200781,154400
200819,154429
200825,154479
200983,154548
201019,154640
201094,154711
201144,154737
201172,154742
201399,154753
